frame_index,timestamp_sec,camera_id,session_id,worker_id,pose_detected,posture,trunk_flexion_deg,lumbar_torque_nm,compression_force_n,torso_lever_arm_m,load_lever_arm_m,risk_level,risk_score,is_estimated_model_indicator,disclaimer,left_shoulder_deg,right_shoulder_deg,left_elbow_deg,right_elbow_deg,left_hip_deg,right_hip_deg,left_knee_deg,right_knee_deg
11,0.44,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
12,0.48,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2171.0,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
13,0.52,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,BENDING,26.6,87.3,2130.2,0.12,0.48,MODERATE,25.7,True,Estimated biomechanical model indicator; not a direct medical measurement.,67.2,49.8,162.6,180.0,145.5,145.5,164.1,164.1
14,0.56,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,BENDING,26.6,87.3,2130.2,0.12,0.48,MODERATE,25.7,True,Estimated biomechanical model indicator; not a direct medical measurement.,67.2,49.8,162.6,180.0,145.5,145.5,164.1,164.1
15,0.6,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2171.0,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.9,0.9
16,0.64,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,15.8,73.5,1883.9,0.07,0.5,LOW,21.6,True,Estimated biomechanical model indicator; not a direct medical measurement.,56.4,39.0,162.6,180.0,86.9,86.9,0.6,0.6
17,0.68,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
18,0.72,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
19,0.76,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
20,0.8,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
21,0.84,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
22,0.88,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
23,0.92,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.8,88.4,2172.7,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.4,43.0,162.6,180.0,82.9,82.9,2.3,2.3
24,0.96,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
25,1.0,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,BENDING,25.6,85.0,2087.8,0.12,0.47,MODERATE,25.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.2,48.8,162.6,180.0,146.3,146.3,163.9,163.9
